epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.699,1.83977,3.06384,1.76544,0.00333,1,0.25538,0.11164,1.85205,3.3537,1.76653,4e-05,4e-05,4e-05
2,262.459,1.55077,2.68174,1.51914,0.00333,1,0.62545,0.396,1.26549,2.90571,1.30992,9.505e-05,9.505e-05,9.505e-05
3,351.435,1.28846,2.23758,1.30571,0.00333,1,0.91376,0.6232,1.0335,2.73744,1.12715,0.00014416,0.00014416,0.00014416
4,453.375,1.07268,1.66143,1.2064,0.00333,1,0.92375,0.66129,0.99454,2.55126,1.07179,0.00018733,0.00018733,0.00018733
5,548.405,0.93066,1.3952,1.07416,0.94676,0.88935,0.93876,0.72781,0.90978,2.2484,1.03412,0.00022456,0.00022456,0.00022456
6,657.62,1.00536,1.69015,1.20724,0.94637,0.88253,0.94575,0.73342,0.90571,2.28159,1.05766,0.00025585,0.00025585,0.00025585
7,777.793,0.99119,1.37672,1.16145,0.84514,0.95,0.93595,0.71512,0.89345,2.40289,1.06946,0.0002812,0.0002812,0.0002812
8,870.492,0.96779,1.2665,1.13593,0.01082,1,0.93806,0.72275,0.84378,2.46581,1.01556,0.00030061,0.00030061,0.00030061
9,967.372,0.80685,1.10407,1.08185,0.93253,0.95,0.9425,0.7481,0.80247,2.45107,0.98295,0.00031408,0.00031408,0.00031408
10,1076.76,0.88062,1.15312,1.0558,0.94858,0.92253,0.94215,0.75443,0.79126,2.42316,0.97592,0.00032161,0.00032161,0.00032161
11,1154.93,0.83865,1.79519,1.10937,0.93576,0.7284,0.95806,0.77869,0.77461,2.38291,0.95925,0.0003232,0.0003232,0.0003232
12,1246.17,0.86247,1.66326,1.0828,0.937,0.74379,0.96032,0.78498,0.78784,2.34539,0.96177,0.00031885,0.00031885,0.00031885
13,1320.72,0.87784,1.67589,1.08527,0.94018,0.78602,0.95987,0.7755,0.79478,2.28286,0.9588,0.00030856,0.00030856,0.00030856
14,1396.62,0.70137,1.4865,0.96327,0.94123,0.80076,0.96508,0.7898,0.77783,2.22376,0.95589,0.00029233,0.00029233,0.00029233
15,1461.37,0.81142,1.55626,0.99205,0.94318,0.83003,0.96745,0.79433,0.77848,2.0907,0.96097,0.00027016,0.00027016,0.00027016
16,1529.88,0.77891,1.5134,0.98154,0.94619,0.87932,0.97119,0.79507,0.79131,2.01351,0.96695,0.00024205,0.00024205,0.00024205
17,1610.48,0.79384,1.47338,1.08932,0.94826,0.91653,0.97205,0.81446,0.77266,1.8617,0.95999,0.000208,0.000208,0.000208
18,1698.61,0.68278,1.47385,1.00032,0.94709,0.95,0.97315,0.80618,0.75823,1.79399,0.9543,0.00016801,0.00016801,0.00016801
19,1800.73,0.73477,1.43784,0.94994,0.94179,0.95,0.97576,0.80677,0.74716,1.73828,0.95155,0.00012208,0.00012208,0.00012208
20,1877.3,0.76566,1.42938,1.01327,0.94053,0.95,0.97774,0.8018,0.736,1.6766,0.94418,7.021e-05,7.021e-05,7.021e-05
