epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.241,1.40719,2.56055,1.48655,0.00333,1,0.89089,0.5855,1.1267,2.70032,1.18041,0.0003,0.0003,0.0003
2,304.687,0.98333,1.63379,1.188,1,0.91851,0.995,0.71857,0.97036,2.24039,1.24288,0.000612328,0.000612328,0.000612328
3,464.296,0.94111,1.44798,1.1746,0.00333,1,0.85036,0.48802,1.39261,2.9451,1.3758,0.000916735,0.000916735,0.000916735
4,658.694,0.91437,1.36779,1.14666,0.97454,0.86667,0.98033,0.65458,1.01068,2.05237,1.21331,0.00121322,0.00121322,0.00121322
5,860.576,1.00925,1.25992,1.17019,0.9751,0.93333,0.99125,0.39541,1.92908,1.73927,2.19884,0.00150179,0.00150179,0.00150179
6,1089.06,0.99294,1.36137,1.18807,0.99165,1,0.995,0.72916,0.97971,1.67569,1.11707,0.00178244,0.00178244,0.00178244
7,1273.35,0.94133,1.32486,1.12471,0.91914,0.75904,0.89014,0.66851,0.80863,2.00214,1.04267,0.0018515,0.0018515,0.0018515
8,1453.15,0.8792,1.29266,1.11974,0.83675,0.73333,0.92002,0.7984,0.54783,1.93203,0.94617,0.00182675,0.00182675,0.00182675
9,1621.63,0.84179,1.1888,1.11952,1,0.9242,0.985,0.74346,0.68975,1.4727,0.96317,0.001802,0.001802,0.001802
10,1778.31,0.77198,1.1133,1.02362,0.83909,0.93333,0.96487,0.80995,0.63805,1.46729,0.92927,0.00177725,0.00177725,0.00177725
11,1902.66,0.73579,1.08212,1.02572,0.69335,0.75454,0.82678,0.59827,0.96375,1.78303,1.14474,0.0017525,0.0017525,0.0017525
12,2056.58,0.79566,1.04333,1.06117,0.55823,0.93333,0.73187,0.53314,0.96257,1.82598,1.08773,0.00172775,0.00172775,0.00172775
13,2186.64,0.76928,1.039,1.06546,0.82845,0.8,0.86909,0.65327,0.92641,1.59747,1.02157,0.001703,0.001703,0.001703
14,2320.57,0.81007,1.05819,1.07557,0.61808,0.8,0.84653,0.60878,1.13081,2.30578,1.21091,0.00167825,0.00167825,0.00167825
15,2496.22,0.64058,0.91785,0.9802,0.91572,0.93333,0.98,0.82194,0.65691,1.40267,0.92943,0.0016535,0.0016535,0.0016535
16,2630.13,0.64854,0.93125,0.96646,1,0.9913,0.995,0.88542,0.4906,1.16073,0.85234,0.00162875,0.00162875,0.00162875
17,2782.41,0.72311,0.91965,1.02727,0.99798,1,0.995,0.8292,0.60775,1.11041,0.89171,0.001604,0.001604,0.001604
18,2923.4,0.63755,0.8321,0.99107,0.97319,1,0.995,0.81336,0.59853,1.08886,0.90972,0.00157925,0.00157925,0.00157925
19,3073.13,0.65971,0.83169,0.99971,0.9931,1,0.995,0.90259,0.44236,0.92786,0.83029,0.0015545,0.0015545,0.0015545
20,3223.63,0.62757,0.82483,0.96936,0.99353,1,0.995,0.84042,0.58816,0.90394,0.85434,0.00152975,0.00152975,0.00152975
21,3375.67,0.70847,0.83705,1.00946,0.9924,1,0.995,0.8983,0.43651,0.92323,0.82353,0.001505,0.001505,0.001505
22,3527.61,0.68126,0.80217,0.99028,0.9942,1,0.995,0.87293,0.4522,0.89223,0.84257,0.00148025,0.00148025,0.00148025
